,congresista_x,Partido,Camara,CC,ID,congresista_y
0,Abel David Jaramillo Largo,Movimiento Alternativo Indígena y Social,Camara,1,17,Abel David Jaramillo Largo
1,Abel David Jaramillo Largo,Movimiento Alternativo Indígena y Social,Camara,1,37,Abel David Jaramillo Largo
2,Abel David Jaramillo Largo,Movimiento Alternativo Indígena y Social,Camara,1,136,Abel David Jaramillo Largo
3,Abel David Jaramillo Largo,Movimiento Alternativo Indígena y Social,Camara,1,149,Abel David Jaramillo Largo
4,Abel David Jaramillo Largo,Movimiento Alternativo Indígena y Social,Camara,1,151,Abel David Jaramillo Largo
5,Abel David Jaramillo Largo,Movimiento Alternativo Indígena y Social,Camara,1,349,Abel David Jaramillo Largo
6,Abel David Jaramillo Largo,Movimiento Alternativo Indígena y Social,Camara,1,390,Abel David Jaramillo Largo
7,Alfredo Rafael Deluque Zuleta,Partido de la U,Camara,10,33,Alfredo Rafael Deluque Zuleta
8,Alfredo Rafael Deluque Zuleta,Partido de la U,Camara,10,37,Alfredo Rafael Deluque Zuleta
9,Alfredo Rafael Deluque Zuleta,Partido de la U,Camara,10,158,Alfredo Rafael Deluque Zuleta
10,Alfredo Rafael Deluque Zuleta,Partido de la U,Camara,10,209,Alfredo Rafael Deluque Zuleta
11,Alfredo Rafael Deluque Zuleta,Partido de la U,Camara,10,219,Alfredo Rafael Deluque Zuleta
12,Alfredo Rafael Deluque Zuleta,Partido de la U,Camara,10,221,Alfredo Rafael Deluque Zuleta
13,Alfredo Rafael Deluque Zuleta,Partido de la U,Camara,10,226,Alfredo Rafael Deluque Zuleta
14,Alfredo Rafael Deluque Zuleta,Partido de la U,Camara,10,269,Alfredo Rafael Deluque Zuleta
15,Alfredo Rafael Deluque Zuleta,Partido de la U,Camara,10,316,Alfredo Rafael Deluque Zuleta
16,Alfredo Rafael Deluque Zuleta,Partido de la U,Camara,10,320,Alfredo Rafael Deluque Zuleta
17,Alfredo Rafael Deluque Zuleta,Partido de la U,Camara,10,326,Alfredo Rafael Deluque Zuleta
18,Alfredo Rafael Deluque Zuleta,Partido de la U,Camara,10,327,Alfredo Rafael Deluque Zuleta
19,Alfredo Rafael Deluque Zuleta,Partido de la U,Camara,10,343,Alfredo Rafael Deluque Zuleta
20,Alfredo Rafael Deluque Zuleta,Partido de la U,Camara,10,352,Alfredo Rafael Deluque Zuleta
21,Alfredo Rafael Deluque Zuleta,Partido de la U,Camara,10,368,Alfredo Rafael Deluque Zuleta
22,Alfredo Rafael Deluque Zuleta,Partido de la U,Camara,10,369,Alfredo Rafael Deluque Zuleta
23,Alfredo Rafael Deluque Zuleta,Partido de la U,Camara,10,408,Alfredo Rafael Deluque Zuleta
24,Alfredo Rafael Deluque Zuleta,Partido de la U,Camara,10,564,Alfredo Rafael Deluque Zuleta
25,Alfredo Rafael Deluque Zuleta,Partido de la U,Camara,10,569,Alfredo Rafael Deluque Zuleta
26,Alfredo Rafael Deluque Zuleta,Partido de la U,Camara,10,570,Alfredo Rafael Deluque Zuleta
27,Alfredo Rafael Deluque Zuleta,Partido de la U,Camara,10,571,Alfredo Rafael Deluque Zuleta
28,Alfredo Rafael Deluque Zuleta,Partido de la U,Camara,10,595,Alfredo Rafael Deluque Zuleta
29,Alfredo Rafael Deluque Zuleta,Partido de la U,Camara,10,623,Alfredo Rafael Deluque Zuleta
30,Gabriel Jaime Vallejo Chujfi,Centro Democrático,Camara,100,27,Gabriel Jaime Vallejo Chujfi
31,Gabriel Jaime Vallejo Chujfi,Centro Democrático,Camara,100,212,Gabriel Jaime Vallejo Chujfi
32,Gabriel Jaime Vallejo Chujfi,Centro Democrático,Camara,100,228,Gabriel Jaime Vallejo Chujfi
33,Gabriel Jaime Vallejo Chujfi,Centro Democrático,Camara,100,257,Gabriel Jaime Vallejo Chujfi
34,Gabriel Jaime Vallejo Chujfi,Centro Democrático,Camara,100,264,Gabriel Jaime Vallejo Chujfi
35,Gabriel Jaime Vallejo Chujfi,Centro Democrático,Camara,100,317,Gabriel Jaime Vallejo Chujfi
36,Gabriel Jaime Vallejo Chujfi,Centro Democrático,Camara,100,351,Gabriel Jaime Vallejo Chujfi
37,Gabriel Jaime Vallejo Chujfi,Centro Democrático,Camara,100,392,Gabriel Jaime Vallejo Chujfi
38,Gabriel Jaime Vallejo Chujfi,Centro Democrático,Camara,100,424,Gabriel Jaime Vallejo Chujfi
39,Gabriel Jaime Velasco Ocampo ,Centro Democrático,Senado,101,4,Gabriel Jaime Velasco Ocampo
40,Gabriel Jaime Velasco Ocampo ,Centro Democrático,Senado,101,75,Gabriel Jaime Velasco Ocampo
41,Gabriel Jaime Velasco Ocampo ,Centro Democrático,Senado,101,76,Gabriel Jaime Velasco Ocampo
42,Gabriel Jaime Velasco Ocampo ,Centro Democrático,Senado,101,77,Gabriel Jaime Velasco Ocampo
43,Gabriel Jaime Velasco Ocampo ,Centro Democrático,Senado,101,123,Gabriel Jaime Velasco Ocampo
44,Gabriel Jaime Velasco Ocampo ,Centro Democrático,Senado,101,156,Gabriel Jaime Velasco Ocampo
45,Gabriel Jaime Velasco Ocampo ,Centro Democrático,Senado,101,172,Gabriel Jaime Velasco Ocampo
46,Gabriel Jaime Velasco Ocampo ,Centro Democrático,Senado,101,179,Gabriel Jaime Velasco Ocampo
47,Gabriel Jaime Velasco Ocampo ,Centro Democrático,Senado,101,184,Gabriel Jaime Velasco Ocampo
48,Gabriel Jaime Velasco Ocampo ,Centro Democrático,Senado,101,248,Gabriel Jaime Velasco Ocampo
49,Gabriel Jaime Velasco Ocampo ,Centro Democrático,Senado,101,267,Gabriel Jaime Velasco Ocampo
50,Gabriel Jaime Velasco Ocampo ,Centro Democrático,Senado,101,268,Gabriel Jaime Velasco Ocampo
51,Gabriel Jaime Velasco Ocampo ,Centro Democrático,Senado,101,277,Gabriel Jaime Velasco Ocampo
52,Gabriel Jaime Velasco Ocampo ,Centro Democrático,Senado,101,310,Gabriel Jaime Velasco Ocampo
53,Gabriel Jaime Velasco Ocampo ,Centro Democrático,Senado,101,346,Gabriel Jaime Velasco Ocampo
54,Gabriel Jaime Velasco Ocampo ,Centro Democrático,Senado,101,351,Gabriel Jaime Velasco Ocampo
55,Gabriel Jaime Velasco Ocampo ,Centro Democrático,Senado,101,360,Gabriel Jaime Velasco Ocampo
56,Gabriel Jaime Velasco Ocampo ,Centro Democrático,Senado,101,386,Gabriel Jaime Velasco Ocampo
57,Gabriel Jaime Velasco Ocampo ,Centro Democrático,Senado,101,389,Gabriel Jaime Velasco Ocampo
58,Gabriel Jaime Velasco Ocampo ,Centro Democrático,Senado,101,459,Gabriel Jaime Velasco Ocampo
59,Gabriel Santos García,Centro Democrático,Camara,102,10,Gabriel Santos García
60,Gabriel Santos García,Centro Democrático,Camara,102,21,Gabriel Santos García
61,Gabriel Santos García,Centro Democrático,Camara,102,175,Gabriel Santos García
62,Gabriel Santos García,Centro Democrático,Camara,102,212,Gabriel Santos García
63,Gabriel Santos García,Centro Democrático,Camara,102,260,Gabriel Santos García
64,Gabriel Santos García,Centro Democrático,Camara,102,264,Gabriel Santos García
