,Proyecto de Ley,Palabra Clave,Estado,Fecha Radicación,Resumen,Tipo,link,ID
0,"Por medio de la cual se establecen medidas para la prevención, diagnóstico, tratamiento oportuno, rehabilitación, y cuidados paliativos del cáncer de mama y se dictan otras disposiciones. ",Cáncer de mama,Publicación,"mayo 9, 2019","El objeto de la presente ley es establecer medidas eficaces, tempranas y oportunas en materia de prevención, detección temprana, tratamiento integral, rehabilitación y cuidado paliativo del cáncer de mama en Colombia. De igual modo garantiza el derecho de las mujeres y hombres a realizarse los respectivos exámenes y a recibir todos los servicios y tecnologías pertinentes dentro de los tiempos establecidos en el tratamiento de esta patología, en el sistema general de seguridad social en salud.  Dicta las obligaciones de los diferentes actores del sistema para mejorar la calidad de vida de los pacientes con enfermedad tumoral maligna de la mama. ",Proyecto de Ley,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-medio-de-la-cual-se-establecen-medidas-para-la-prevencion-diagnostico-tratamiento-oportuno-rehabilitacion-y-cuidados-paliativos-del-cancer-de-mama-y-se-dictan-otras-disposiciones-cancer-de-mama/9968/,1
1,"Por medio de la cual se modifica la Ley 5 de 1992, relacionado con el trámite legislativo, y se dictan otras disposiciones. ",Trámite legislativo,Publicación,"mayo 8, 2019","La presente ley tiene como finalidad modificar el trámite legislativo de un proyecto de ley, particularmente en el debate y aprobación del articulado en las sesiones conjuntas y plenarias simultáneas, garantizando plenamente el derecho de las minorías parlamentarias",Proyecto de Ley,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-medio-de-la-cual-se-modifica-la-ley-5-de-1992-relacionado-con-el-tramite-legislativo-y-se-dictan-otras-disposiciones-tramite-legislativo/9963/,2
2,Por la cual se regulan los Servicios de Intercambio de criptoactivos ofrecidos a través de las plataformas de Intercambio de criptoactivos. ,Criptomonedas,Publicación,"mayo 8, 2019","Propone establecer un marco normativo y regulatorio en Colombia que pretende definir y regular los servicios de intercambio de cripto activos. Esto con el fin de solventar un vacío jurídico alrededor de estas transacciones, que promueva mercados que se desarrollan a partir de la cuarta revolución industrial y que permita prevenir el uso malintencionado de estas transacciones digitales y la financiación de actividades ilícitas. ",Proyecto de Ley,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-la-cual-se-regulan-los-servicios-de-intercambio-de-criptoactivos-ofrecidos-a-traves-de-las-plataformas-de-intercambio-de-criptoactivos-criptomonedas/9964/,3
3,Por medio del cual se realizan cambios al artículo 81 del Código Nacional de Policía y Convivencia y se introduce un término prudencial para la realización de acciones preventivas en caso de vía de hecho que pretendan perturbar la posesión. ,Acción preventiva por perturbación,Publicación,"mayo 8, 2019",La presente ley tiene por objeto otorgar a la Policía Nacional un mayor tiempo para la realización de la Acción Preventiva por Perturbación de que trata el Artículo 81° de la Ley 1801 de 2016 “Por la cual se expide el Código Nacional de Policía y Convivencia”.,Proyecto de Ley,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-medio-del-cual-se-realizan-cambios-al-articulo-81-del-codigo-nacional-de-policia-y-convivencia-y-se-introduce-un-termino-prudencial-para-la-realizacion-de-acciones-preventivas-en-caso-de-via-de-hecho-que-pretendan-perturbar-la-posesion-accion-preventiva-por-perturbacion/9967/,4
4,Por medio de la cual se autoriza y reglamenta el uso alternativo de gas licuado de petróleo ,Reglamenta el uso de gas licuado,Publicación,"mayo 7, 2019","Autorizar el uso de gas licuado de petróleo (GLP) como carburante en motores de combustión interna, como carburante en transporte automotor (autogás) y demás usos alternativos del GLP en todo el territorio nacional.",Proyecto de Ley,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-medio-de-la-cual-se-autoriza-y-reglamenta-el-uso-alternativo-de-gas-licuado-de-petroleo-reglamenta-el-uso-de-gas-licuado/9965/,5
5,"Por medio de la cual se adiciona la Ley 668 de 2001, se crea la beca Pedro Pascasio Martínez y se establece el procedimiento para efectuar la elección de los ganadores de la medallas ""Luis Carlos Galán de lucha contra la corrupción"" y ""Pedro Pascasio Martínez de ética republicana. ",Beca anticorrupción,Publicación,"mayo 2, 2019",NA,Proyecto de Ley,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-medio-de-la-cual-se-adiciona-la-ley-668-de-2001-se-crea-la-beca-pedro-pascasio-martinez-y-se-establece-el-procedimiento-para-efectuar-la-eleccion-de-los-ganadores-de-la-medallas-luis-carlos-galan-de-lucha-contra-la-corrupcion-y-pedro-pascasio-martinez-de-etica-republicana-beca-anticorrupcion/9966/,6
6,Por medio de la cual se establecen condiciones especiales para acceder al beneficio de la libertad condicional para los miembros de las Fuerzas Públicas. ,Tratamiento penal especial para miembros de las Fuerzas Públicas,Publicación,"abr. 30, 2019","Otorgar un tratamiento exclusivo a los miembros de las Fuerzas Públicas, sustituyendo la pena privativa de la libertad, adoptando un tratamiento penal especial cuando se trate de delitos cometidos con anterioridad al 1 de diciembre de 2016, para quienes cometan crímenes en desarrollo de operaciones militares u operativos de policía reglado por el DIH.",Proyecto de Ley,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-medio-de-la-cual-se-establecen-condiciones-especiales-para-acceder-al-beneficio-de-la-libertad-condicional-para-los-miembros-de-las-fuerzas-publicas-tratamiento-penal-especial-para-miembros-de-las-fuerzas-publicas/9961/,7
7,"Por el cual la Nación se asocia y rinde homenaje al Distrito Turístico, Cultural e Histórico de Santa Marta con motivo de la celebración de los 500 años de su fundación y se dictan otras disposiciones. ","500 años de Santa Marta, Magdalena",Publicación,"abr. 25, 2019","La presente ley tiene por objeto vincular a la Nación para que se asocie y rinda homenaje al Distrito Turístico, Cultural e Histórico de Santa Marta, con motivo de la celebración de los 500 años de su fundación  para 2025 y en el marco de la campaña Santa Marta Rumbo a los 500 años - el cambio no se detiene.  Se establecen medidas para garantizar la financiación de la inversión pública y el estímulo a la inversión privada en materia de transformaciones de infraestructura, sociales, económicas y de sostenibilidad ambiental para superar los problemas de desarrollo humano y de pobreza, que afectan al Distrito y especialmente a la población más vulnerable.",Proyecto de Ley,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-el-cual-la-nacion-se-asocia-y-rinde-homenaje-al-distrito-turistico-cultural-e-historico-de-santa-marta-con-motivo-de-la-celebracion-de-los-500-anos-de-su-fundacion-y-se-dictan-otras-disposiciones-500-anos-de-santa-marta-magdalena/9956/,8
8,Por medio del cual se modifica el artículo 2º de la Ley 1118 de 2006 y se adiciona un artículo nuevo. ,Ecopetrol,Publicación,"abr. 24, 2019","Capitalización de Ecopetrol S. A. En el proceso de capitalización autorizado en el artículo 1º de esta ley, se garantizará que la Nación conserve, como mínimo, los ochenta y ocho puntos cinco por ciento (88.5%) de las acciones, en circulación, con derecho a voto, de Ecopetrol S. A.",Proyecto de Ley,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-medio-del-cual-se-modifica-el-articulo-2-de-la-ley-1118-de-2006-y-se-adiciona-un-articulo-nuevo-ecopetrol/9955/,9
9,Por medio de la cual se modifica el Decreto Ley 1421 de 1993 “Por el cual se dicta el régimen especial para el Distrito Capital de Santafé de Bogotá” y se dictan otras disposiciones”. ,Estatuto Orgánico de Bogotá,Publicación,"abr. 24, 2019","La presente Ley tiene por objeto modificar algunos artículos del Decreto Ley 1421 de 1993, en aplicación de los principios de descentralización, desconcentración, delegación, pluralismo, transparencia y eficiencia. ",Proyecto de Ley,https://congresovisible.uniandes.edu.co/proyectos-de-ley/ppor-medio-de-la-cual-se-modifica-el-decreto-ley-1421-de-1993-por-el-cual-se-dicta-el-regimen-especial-para-el-distrito-capital-de-santafe-de-bogota-y-se-dictan-otras-disposiciones-estatuto-organico-de-bogota/9960/,10
